Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Afghanistan,AFG,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Albania,ALB,6,6,6,6,6,6,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Algeria,DZA,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Angola,AGO,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Antigua and Barbuda,ATG,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Argentina,ARG,8,8,8,8,8,8,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Armenia,ARM,8,8,8,8,8,8,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Australia,AUS,7,7,7,7,7,8,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Austria,AUT,7,7,7,7,7,7,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Azerbaijan,AZE,6,6,6,6,8,8,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,"Bahamas, The",BHS,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Bahrain,BHR,7,7,8,8,8,8,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Bangladesh,BGD,0,0,0,0,0,4,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Barbados,BRB,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Belarus,BLR,6,6,7,7,7,7,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Belgium,BEL,5,5,5,5,5,5,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Belize,BLZ,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Benin,BEN,0,0,0,0,0,0,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Bhutan,BTN,6,6,6,7,7,7,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Bolivia,BOL,7,7,7,7,7,7,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Bosnia and Herzegovina,BIH,6,6,6,6,6,6,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Botswana,BWA,7,7,7,7,7,7,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Brazil,BRA,7,7,7,7,8,8,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,Brunei Darussalam,BRN,5,6,7,7,8,8,..,..,..,..
