Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Afghanistan,AFG,3.73272021162013,3.78980675535297,3.77581257666065,3.71038110758839,3.44212677085205,3.1735454944513,2.99421260598445,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Albania,ALB,37.4025750642333,35.3627222066127,34.5818174656481,32.5625685942611,30.0983767610522,30.9777223172642,34.9031046228004,33.6073727680079,31.2493487057846,29.7762875657202
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Algeria,DZA,16.3999184158829,19.1940416812752,20.2346166999021,21.8449886502322,22.3718825950813,22.8981304002728,26.1031661322496,22.6446473775232,18.2240947455118,18.8562935778786
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Angola,AGO,19.8867601663945,24.0107756503464,19.9408308429262,15.9200224709074,13.8323096409005,14.2569384889195,12.4261184193726,9.27972796120518,7.53638729290095,8.25144948945266
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Antigua and Barbuda,ATG,56.0283278357383,48.6225959185356,47.0106186461537,44.3336050564692,41.6541874622447,41.9757859373826,53.802449365344,45.4562884943185,38.1460990545085,37.5014254927286
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Argentina,ARG,13.6569400728306,14.2385254616337,13.4965267916168,15.7212691624528,15.3763265573184,12.7789482484627,13.4554773021172,11.2727076291742,10.661822361698,11.9006278976555
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Armenia,ARM,47.2258374312999,43.6021049981862,46.2279592635617,48.8423873035971,52.6231693123389,57.3406716513044,69.0649480267999,58.9303945859551,50.2903067675615,53.573197585997
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Aruba,ABW,60.2405386637617,56.626871086152,57.2219745438198,57.2465137419772,55.9651590878475,58.7855516510707,81.7487040187796,67.508470565327,61.3565535911972,59.6054698880193
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Australia,AUS,128.442294533427,136.353973851483,142.663702407647,140.669087554556,140.019388123744,136.21472648698,142.229832537004,138.684517039077,134.020843312686,127.431890729182
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Austria,AUT,87.9791389799125,85.9947836133829,83.2593874695782,84.3278786256394,84.5707144749253,86.0215254846411,92.7332159422355,92.7676649374482,89.1915981440889,84.6486440353522
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Azerbaijan,AZE,30.5754706519967,38.4189142414491,31.7486317746238,21.1466313265413,19.919621543887,22.1534167178453,25.0243544157673,21.9529518709336,17.5429100232211,22.1062948746357
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,"Bahamas, The",BHS,61.6425766122051,57.5496877115123,55.2926241581596,51.7434275580835,49.5959907417683,47.0693981346322,60.4307907051475,51.9589758024083,45.6987150208581,42.0572863270217
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bahrain,BHR,61.3347998045045,70.5500803025,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bangladesh,BGD,43.5129671295367,44.2041617168677,37.6443422797851,40.3027362303916,39.8812222314378,38.8963276596401,39.0262779385286,38.9590765899848,38.8397746626622,37.5317860792109
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Barbados,BRB,71.5604862717665,73.7864035455274,74.3112676853402,74.1266191708749,72.9186145615812,71.5780503608508,79.2328025815069,77.082334738153,67.071444067063,64.0739674514181
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Belarus,BLR,22.1129367204855,23.9672812812813,21.6787306870004,22.2517059424292,23.0896541857423,24.2103650209304,26.1147728107613,24.1068300928884,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Belgium,BEL,57.6103761794733,60.8023814909828,63.0230419091688,63.9603957716519,66.3387246518871,67.7573168470454,74.1512307577193,72.967998305216,70.5810517589056,68.4168884992402
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Belize,BLZ,44.5407459370981,45.7834294703723,44.5404428176056,44.2576446189825,44.9739234710564,45.6041954528326,55.0544337567614,47.6497903369069,42.3384093863069,41.6486623082316
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Benin,BEN,16.6324823817263,16.641873979786,17.3950894740497,16.5182924682546,16.6961161674935,17.5628620818268,15.4928446985846,15.5501996992846,17.0718468999554,18.5840493961309
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bhutan,BTN,41.0713838788513,42.4998039773188,44.0962730445652,48.2910261940475,54.8289665769434,59.3581476105815,67.5403920685253,65.0152437609945,67.8646560420459,71.2885189614179
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bolivia,BOL,43.7467438812836,51.4469390653308,57.4065200592634,58.6156520330797,62.6263419924678,65.8382056224341,80.165695281276,75.9930803739778,74.1841417254527,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bosnia and Herzegovina,BIH,54.6580235836195,52.9827503519141,52.533163192396,53.5909452041644,52.9157230162128,53.3616307602996,53.4323635984372,49.2742520380268,44.3353511506811,43.5419150813843
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Botswana,BWA,32.547928227957,35.956003213791,32.6545599691318,33.9125385670024,34.677853125152,35.8595069166918,39.6340334530872,34.4373821310069,29.8108464440069,30.0023143312434
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Brazil,BRA,66.028510394056,66.829700644229,62.1940069702965,59.4843092982775,60.2183479373178,62.7905049393632,68.6961545896515,68.8052245667195,70.606097179878,71.6466554267312
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Brunei Darussalam,BRN,32.9080749901994,41.14022928639,43.5664880808887,38.8058469309929,34.4004912166559,34.9379155837353,38.8174522364556,35.0855262344572,30.4220493025906,35.793232491421
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Bulgaria,BGR,59.1431222685524,54.7162237726231,51.9461262902659,49.7355320868358,50.3589242698056,49.6822653192689,51.1988624378123,48.0806480905864,44.6855994617202,45.1942762421747
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Burkina Faso,BFA,23.3588661995455,24.986758355322,25.7622388013293,27.3717236042485,27.1040907057164,28.3014161860872,28.6298399504277,29.4371711748254,31.2698958323502,31.5261837845944
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Burundi,BDI,19.0042052578746,16.0820183235783,16.8486763903787,15.0501361149944,17.5871906561751,20.2639752368646,23.1538719457735,34.6702068595947,41.6388362389059,47.8656733468172
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Cabo Verde,CPV,57.1923718603113,56.0060113993158,54.6222409631475,54.9453516880714,53.1966222446449,51.1958291912482,67.8711237411038,66.7737491520925,57.2221312114435,54.990797367802
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Cambodia,KHM,47.2752826057959,55.3817260980425,61.3770125876096,65.2950910388227,73.664425776364,84.2977976975792,103.716981534338,121.826219178824,132.804175784804,130.111716998462
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Cameroon,CMR,13.6922694886288,14.1527310842135,14.3327371828902,14.0246597647568,14.6478980696994,14.0574578997062,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,Central African Republic,CAF,12.5897573478641,11.5020865915547,12.0739776387959,10.9667886620727,12.0955550061404,11.4534557517061,11.4218789775504,11.5277547117761,12.7656011869456,..
