Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Albania,ALB,6.05833333333333,6.48416666666667,5.90333333333334,5.45333333333333,5.18083333333333,5.78333333333333,5.70583333333333,5.54333333333334,5.77583333333334,5.00416666666667
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Algeria,DZA,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Angola,AGO,12.8553065236728,13.5672422196748,10.2361858142293,9.4639071500616,13.8003469577253,12.8799653762689,13.4541664894194,12.3572465091709,13.0136243148161,10.0424174698289
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Antigua and Barbuda,ATG,7.17844375442281,7.36891666666666,7.6475,7.555,7.32444608333333,7.0348395,6.16923325,5.80990625,5.75962625,5.337422
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Argentina,ARG,3.5914829823368,3.7466847946883,6.9525378630482,7.5810907696508,16.5952652565272,19.9673733621434,0.0673620839581979,2.0130065072791,-0.0175007827835003,0.897421188356205
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Armenia,ARM,5.9828802332704,3.4421711434095,5.7410489146788,5.39266669635978,4.12931133344314,3.65503785000689,3.50195095111197,3.52038219760139,3.24521114428292,4.02257380704685
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Aruba,ABW,5,5.1,4.9,4.7,4.8,3.5,5.5,4.7,4.3,3
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Australia,AUS,3.04583333333333,3.27083333333333,3.27916666666666,3.23716666666667,3.28166666666666,3.54266666666667,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Austria,AUT,..,..,..,..,..,..,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Azerbaijan,AZE,8.68583333333333,8.53583333333337,8.64233644907122,8.11416666666667,7.1725,7.58704850785953,8.48749424167901,7.71833324707993,5.61410674888091,5.31192049946286
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,"Bahamas, The",BHS,3.3325,3.345,3.50833333333333,3.25583333333333,3.40916666666667,3.66166666666667,3.79770833333333,3.72804166666667,3.7325,3.71166666666667
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Bahrain,BHR,4.88666666666666,4.1675,..,..,..,..,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Bangladesh,BGD,3.145,3.46500000000003,4.21000000000003,3.93416666666667,2.99333333333333,2.78083333333333,2.2275,2.27916666666667,1.56586403535337,1.05166666666667
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Barbados,BRB,5.87416666666666,6.73583333333333,7.7025,7.85511080021453,7.89972206258252,7.9,7.9,7.9,7.90666666666667,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Belarus,BLR,0.158333333333399,-1.825,-0.241666666666699,2.65960328547397,2.775,2.51583333333333,2.42416666666667,1.76333333333333,4.29499999999997,5.11001895110608
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Belgium,BEL,..,..,..,..,..,..,..,..,..,..
"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Belize,BLZ,7.92472181578679,7.71968290631026,7.54314787401049,7.34307109768959,7.11583333333333,7.11583333333334,6.55416666666667,6.20916666666666,6.30110624791781,6.355
