Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Real effective exchange rate index (2010 = 100),PX.REX.REER,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Albania,ALB,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Algeria,DZA,102.924745800834,96.5736751747961,95.5860542311904,97.8048648427641,93.5171663350463,95.4492059506078,91.2215042957678,86.799925838196,92.3296144038566,102.330480838556
Real effective exchange rate index (2010 = 100),PX.REX.REER,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Angola,AGO,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Antigua and Barbuda,ATG,100.312900154288,110.350682875164,111.698242229038,111.542272768686,108.189502612262,111.890443435051,112.314237461541,108.546781324872,115.994863999448,113.903564982938
Real effective exchange rate index (2010 = 100),PX.REX.REER,Argentina,ARG,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Armenia,ARM,100.97793847401,103.999579465214,102.619643336002,99.3140203840874,98.8944177191551,102.397142186086,102.2787958206,100.265708464159,117.514567528193,126.542823621968
Real effective exchange rate index (2010 = 100),PX.REX.REER,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Australia,AUS,98.3413286971719,89.8204128941133,91.0022137183393,93.7826196484288,89.9645038578411,86.0300368799563,85.3304479335934,90.5398135371659,90.7767728971026,90.344189461655
Real effective exchange rate index (2010 = 100),PX.REX.REER,Austria,AUT,101.819667875296,98.3320835821097,99.8764258657118,100.987410145836,102.845296501496,101.73053193424,103.677031252529,103.991200313129,102.686274983854,106.638347166817
Real effective exchange rate index (2010 = 100),PX.REX.REER,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,"Bahamas, The",BHS,99.0299174189205,102.259579012637,101.282259835597,100.862134999376,100.478025467212,102.096863100905,101.465483697544,99.7781299257607,99.1020199930869,98.6391767047056
Real effective exchange rate index (2010 = 100),PX.REX.REER,Bahrain,BHR,98.9168051383005,105.748340765497,108.969019201443,109.422007527275,108.375908850845,110.783581285714,107.221034855556,102.299144686796,106.599882772242,104.426810524106
Real effective exchange rate index (2010 = 100),PX.REX.REER,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Belarus,BLR,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Belgium,BEL,99.9503790542508,94.5150017567894,97.4081757345984,98.8500102135925,101.266361497894,99.7979599761335,101.213409606495,101.395866844736,101.043627546492,102.585866521999
Real effective exchange rate index (2010 = 100),PX.REX.REER,Belize,BLZ,96.4420870348469,102.855003013539,105.00737865327,104.843353689807,103.555534615512,103.984286026841,104.3984150822,101.950717824939,104.851331221135,105.05714433279
Real effective exchange rate index (2010 = 100),PX.REX.REER,Benin,BEN,..,..,..,..,..,..,..,..,..,..
Real effective exchange rate index (2010 = 100),PX.REX.REER,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
