Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Albania,ALB,4.8575,5.1375,5.67166666666667,5,4.6225,..,5.15166666666666,4.97333333333334,4.7,3.38777777777778
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Algeria,DZA,7.7125,7.5025,6.805,6.25416666666667,5.64083333333333,5.09583333333333,5,5,5.00916666666667,5.01166666666667
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Angola,AGO,12.102965385581,9.67804295543776,0.688596531704201,-0.541816285341199,7.5455456943824,6.210992205655,3.1588581607263,0.038043518597199,9.7722113762759,6.3980837448173
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Antigua and Barbuda,ATG,4.0718377079627,4.84008333333333,4.96333333333333,6.645,6.996532,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Argentina,ARG,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Armenia,ARM,8.60702498493112,4.6945428177529,7.52550444796663,7.67789334249957,6.57465026113733,6.10504728650153,5.79772968557314,3.96306581230225,1.1314639566373,1.2525890680976
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Australia,AUS,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Austria,AUT,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Azerbaijan,AZE,15.9675,..,3.4193933825912,2.2158333333333,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,"Bahamas, The",BHS,4.21661666666667,4.07148333333333,3.10894166666667,2.42203333333333,2.5575,2.64456666666667,2.45436666666667,1.66646666666667,1.3875,1.34416666666667
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bahrain,BHR,5.08305833333333,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bangladesh,BGD,5.76459736111111,5.94857222222226,7.0202416666667,6.18854166666667,7.27807166666666,3.83615277777778,3.52770555555556,6.00644444447223,2.09060731634453,-0.14325
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Barbados,BRB,5.1825,5.23666666666666,4.74416666666667,4.74666666666667,4.91583333333333,7.55,7.55,7.55,7.55,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Belarus,BLR,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Belgium,BEL,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Belize,BLZ,10.3511631837388,10.210959926803,9.8054067763209,8.80625,7.91166666666667,7.835,7.46416666666667,7.17083333333333,7.60682484922412,7.80166666666667
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Benin,BEN,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bolivia,BOL,7.71656747672604,7.4991649078189,7.73482606117997,7.76099203240817,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Botswana,BWA,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Brazil,BRA,20.4680833333333,29.7983833333333,38.6378916666667,37.8592166666667,31.7740333333333,31.295925,26.2813,22.90315,26.1357916666667,31.4839333333333
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Bulgaria,BGR,7.04845833333334,7.07775,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Burundi,BDI,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Cabo Verde,CPV,9.3883950931977,9.25998923115897,8.96423006654233,8.86312259528097,7.97292567041423,8.03666809248556,7.19451484269313,6.61928566776367,6.83172030290501,6.5285150596832
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Canada,CAN,2.08916666666667,2.27166666666667,2.2,2.18333333333333,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Chad,TCD,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Chile,CHL,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,China,CHN,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Colombia,COL,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Comoros,COM,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Cote d'Ivoire,CIV,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Croatia,HRV,..,..,..,..,..,..,..,..,..,..
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
