Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Afghanistan,AFG,40.8805266123672,42.9052977920066,21.6593451659319,22.026284489407,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Albania,ALB,19.0750416761579,20.5684028366258,16.5165155773985,21.765605775375,23.3826756643626,26.0064014783247,22.0434869973123,22.10109002107,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Angola,AGO,69.925116617247,68.6880686370384,68.5056055778278,69.9099627805504,74.7257198862853,75.0600805225284,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Argentina,ARG,24.5345769159543,27.2246545689832,21.8648726250116,22.898254305113,18.5141435318887,14.9086972142946,15.1802728830362,14.4379759375986,17.3284572699521,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Armenia,ARM,39.1755930071975,40.4673273324184,44.0693932244212,40.6089769455475,43.6397751504268,40.5446296414915,41.4427838216726,37.8611567451989,37.5922432056241,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Australia,AUS,70.9339843526926,72.8032966383409,71.8013912468962,72.3591440569805,73.1068279104582,74.309895861898,73.4142549522422,73.1491818376481,76.6424086783907,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Austria,AUT,47.5411540413673,48.6221423077056,45.9871330305936,46.6414327325418,47.651134186111,47.9740999912304,46.721249374959,48.3700617568264,49.6939196143449,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Azerbaijan,AZE,39.2541192741493,37.916322922805,35.5750864107695,35.9217219444234,33.6463229059411,30.0402758336411,31.7836209555955,33.199830523379,48.3041998074285,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Bahrain,BHR,14.488416988417,9.79598579334269,4.72147733166932,3.58491333153326,4.55881068638194,5.70386709096632,1.74474428908893,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Bangladesh,BGD,32.6023585347961,31.6125364522537,29.6788380759254,28.2637037308492,29.4818133726419,29.6918363710954,33.9758415991093,32.3733392845897,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Barbados,BRB,31.3751842919135,31.4301017869714,32.4202225615134,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Belarus,BLR,6.43507950240609,6.42850462673039,5.56863482155522,7.42489414998649,7.18362251473106,7.18686304184768,3.46544136579257,7.74059090857919,8.49244050597869,5.12885997598881
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Belgium,BEL,59.5549879893281,57.7315818878916,54.4430815897559,55.9511865576174,56.1502051577342,54.2900813242253,54.7635111142675,54.9564619576038,57.3918683431143,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Belize,BLZ,32.2373474193885,29.570538044731,28.3026647489971,27.9316295227782,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Bhutan,BTN,58.6420337318294,56.3755511359247,55.2597658965894,51.9893436104985,47.0960158206819,48.3530147574518,48.9078429915846,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,Bosnia and Herzegovina,BIH,13.0107782182784,13.2170486545954,14.3148423502517,15.7622776530692,16.1132692352409,15.7321375182538,16.3350606568578,15.6033974178082,17.5677730230637,19.015965949371
