Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Afghanistan,AFG,1.93817780133484,3.29960835203606,4.333403208221,4.35357201508207,3.32380000211032,2.97423809266455,2.67397501265809,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Albania,ALB,17.5376945375891,33.5289041026424,15.23524249807,11.1428754430796,20.6761124898272,11.6000219465986,29.7327737084102,14.5719568092065,9.18537797954845,8.47736710275342
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Algeria,DZA,0.448059126334839,1.72343736396926,1.01403802715903,0.599990207704779,0.476882299088464,0.491759309197809,0.679785382766472,0.451811806285505,0.426448875667624,0.764096150519173
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Angola,AGO,13.4287582139911,24.7853019209701,38.0756437635118,25.4292237629753,28.5353974870477,29.9160622680195,36.2643591957246,29.2509172416252,30.3800197632965,33.4182205067185
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Argentina,ARG,20.1697253607257,24.733642858859,35.8834637729343,51.7302547597257,51.5485845475577,51.0995074768097,43.0976319782414,31.0245129800709,33.2585875077557,51.3539448345211
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Armenia,ARM,31.6996262271868,38.4142387162148,33.0971857565039,26.4117195018642,28.5621462576129,30.7771673115206,45.285691473719,34.6697514744243,18.0088551461692,18.3590951067762
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Azerbaijan,AZE,5.47408203847123,8.96415714597556,9.54183529140727,10.5922363338645,9.94635775700456,8.19755528790793,10.8886814110501,7.86216299811166,3.32564337467293,4.91481192939088
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bangladesh,BGD,6.13466573895137,5.00105961552124,4.92101273972835,5.79903429874665,6.79539373258512,13.1445525906638,10.4592111139286,11.4417559557247,11.2392162165619,12.5939799449972
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Belarus,BLR,12.1189252150858,14.8963571702265,20.318907338682,11.7755887758454,13.3189514000796,10.4516456803401,11.2758095940727,8.62319662930416,14.1668733369699,16.1600262502284
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Belize,BLZ,8.4376667779985,9.4063731609944,10.4917684199271,10.0634347639991,10.5260465943405,9.36643024652193,11.023767997294,58.9326978854465,5.56453199969486,7.67721470907018
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Benin,BEN,3.23089406311137,7.43338429146818,4.17905728446817,3.62164756069423,7.86519807374758,6.9120590000428,7.02054569204495,17.2985921462958,11.2178613332037,21.1553620109464
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bhutan,BTN,13.1750850942313,18.1043400042224,17.5595801863358,11.92263516548,11.4177745462651,8.35212645374377,8.74330362481244,17.3241911789711,16.1948695115357,16.298782280732
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bolivia,BOL,6.97764397552778,9.89883952740801,9.21953909473769,10.024147779664,9.51956656449353,10.3652362849806,15.5640603308679,14.0114788019169,16.5189743121325,14.254761447151
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bosnia and Herzegovina,BIH,21.6085631013742,30.8086929589917,18.5032311661066,16.9768147415281,13.9498324986333,11.5273584630306,8.822010639952,13.8436532051899,8.02920788061986,12.8671221091446
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Botswana,BWA,0.672762052785683,3.32688648966856,1.97974958199445,2.44289884396781,2.36055721853273,3.0163058102534,3.79374345329855,2.01083237495236,1.95325912382696,3.75299476903513
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Brazil,BRA,22.9484422129242,39.7792835988014,51.0549755813973,34.7679517027382,33.3094436850684,53.4702774123798,50.3532730456426,46.7253000554679,29.9164040125887,53.8044527360973
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Burkina Faso,BFA,37.1994898824789,55.1912850414511,35.8367222621689,40.3276068719955,63.1575913019546,49.450101074666,38.6809574579384,7.56475413292728,17.5624284823319,14.2575055905584
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Burundi,BDI,12.2653714151068,13.9133301954134,15.9799953866367,9.62010735703026,9.06433321322145,11.7601714184191,12.2197808459204,9.07052384386078,9.19992072225422,10.8788543484669
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cabo Verde,CPV,5.6307820131634,7.49296058890059,6.67786077186291,6.90747891585965,6.84987228577439,6.75225538273916,14.2036840687221,12.2895572187456,13.1277704571281,16.0900922244494
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cambodia,KHM,5.36580592745511,5.06464981869505,5.14841946606333,6.24104266672649,6.73299934326278,6.91806015451086,7.37036636097944,10.5824087424511,9.66715949003797,8.71126121495421
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cameroon,CMR,6.05474685897645,7.35707247061288,13.3924754687549,10.6764553693679,14.0645418720094,14.244850180284,20.8588208934159,25.5585010943463,20.5210194703037,19.3414660187354
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Central African Republic,CAF,..,..,..,..,..,8.48998781357538,4.51581504055315,5.00296629430605,5.9628414052565,9.66802706157545
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Chad,TCD,15.3947079113367,2.38361509835388,6.81076052002988,5.76694621730093,5.68293597311804,3.42179355018422,6.3206820409781,8.12013380004913,7.59265460091035,7.88063919228386
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,China,CHN,3.01971745253991,4.90274889592115,6.91875543607767,7.58735986967657,8.25271896595969,9.49516872239568,9.19478034214525,8.68754451581172,10.7452117111153,10.2761912052145
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Colombia,COL,21.6397119777946,27.5907616934881,33.1413892065284,40.8968340965206,40.7751771674939,32.9562354290562,50.7572408180472,44.6123079935426,33.8953291243213,37.063510396407
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Comoros,COM,0.591865638475954,7.198585983012,5.50330298674021,2.94478722866575,4.78955193840012,6.05689709139567,13.9191208828341,2.54156016580105,2.7563213962486,11.6029292178846
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Congo, Dem. Rep.",COD,2.81898866548479,3.25710608430542,3.59493327498272,2.95476624265172,2.01509020345538,6.91465610167407,1.93016671817991,1.42666404520974,1.33415549788065,1.63073153508213
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Congo, Rep.",COG,5.09709028588407,8.09368231765128,7.82824894809077,..,..,6.37938937317886,13.6490649444663,5.04667374850404,7.62620377805705,8.01185899856244
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Costa Rica,CRI,20.4919419875029,15.8448028421587,14.8848622762542,14.9481080824652,15.5066994441108,13.4936174109188,16.3206737326278,11.712207154109,8.71404176378746,14.6410219516044
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cote d'Ivoire,CIV,7.1458635774276,6.35864533484013,12.9730963153988,17.0951138013737,12.3155204491884,21.1857500643047,17.9986903027955,10.321967893587,11.7873575562185,19.6990985743176
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Czechia,CZE,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Djibouti,DJI,1.06181589657575,1.24037633439777,2.1475631145837,1.7173350672911,1.58567108414747,1.52528322747519,1.88392135365331,1.17105098898137,1.3139889030219,1.73999688856846
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Dominica,DMA,7.87580977705144,12.0472718435126,11.5050998493163,14.9208593359592,22.6271743528782,16.7093939356885,26.983205848897,19.8006172512553,22.5246147565762,24.3912618703578
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Dominican Republic,DOM,18.4215063028066,29.8630953551523,18.6013519565159,15.5802494483517,14.2572261129118,17.4118159016959,40.4184587108251,16.7198383304297,13.7446597768317,18.810806572052
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ecuador,ECU,13.8374520309622,23.6277528717822,26.5736830065549,29.1333680644994,35.6639864134453,35.8038102109157,41.3976667343651,22.6515725054688,14.728183987124,19.0577914584092
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Egypt, Arab Rep.",EGY,12.6738497850725,9.98733957183104,19.5115368004423,15.3775515850977,16.3223660797798,16.58038796421,30.61957277854,31.0941495331132,23.1591391923667,30.3715546973076
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,El Salvador,SLV,19.264044887175,18.5797789323215,20.064853896716,51.6213408134885,45.5326503618114,67.7539094164093,82.029396941837,67.8810486060587,32.2434530300956,82.9782417474145
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Eswatini,SWZ,10.5823251831425,4.81274560599096,2.22140403245757,6.22371196210371,2.73262828497459,2.50625387035584,5.39299510085531,2.90735781449707,3.82919492552606,7.30684471429471
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ethiopia,ETH,11.870058525757,18.2926128660911,20.9349904391639,22.2353979988408,21.4915673746629,28.9364069267454,26.1131290595146,21.2158220927836,18.2791956138983,14.3417897109593
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Fiji,FJI,5.86830107916042,14.6765072192574,5.57918204712897,7.02106912110908,4.37762977430293,8.27152173474861,21.6681950044662,10.8884002800221,7.91562850449653,6.85146759884762
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Gabon,GAB,6.09836934281393,8.57679637533372,14.1832585059486,10.2889319500461,10.4866597793634,9.89875377057254,29.0217555901934,15.3999017444452,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Gambia, The",GMB,17.919558577175,18.6134777072778,23.0421975657107,15.391137423612,13.1745279278738,12.7110471886318,22.1817087755883,28.9999289602473,14.7499041432609,8.29252130836023
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Georgia,GEO,23.9537218182766,31.041111011818,36.7531321691726,29.7159343142183,23.9219838838232,22.5470245966801,35.5591593105789,29.4581002700768,22.6688350975514,20.8483458592727
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ghana,GHA,16.724395649565,7.38187818975689,26.0423836386085,30.3458520139881,17.246822421546,36.9593746391686,11.9055368166592,16.9240138630112,17.8712795252518,4.95203011552593
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Grenada,GRD,4.26068359826294,5.13391265252015,9.68380047104845,10.0251212927904,8.83161341788629,8.00020597608112,11.1070003028251,9.03461541468365,7.20546543627214,5.94401483496023
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guatemala,GTM,15.1049325180282,16.405417620638,23.5128173587407,29.747210171787,8.24906554603006,13.9678070002385,25.3765771807585,10.3825518726562,21.0742699557275,9.14783238047053
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guinea,GIN,2.41747708892485,4.07568417953066,2.31198785466247,1.73526446261627,2.74660988911633,2.68121315999234,1.54734381302908,1.51473618050838,2.35056941377385,2.52240258011137
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guinea-Bissau,GNB,1.52610519673395,1.50113868929566,2.116042023106,4.0360278847248,4.72745267389842,6.39692495245601,19.655748568248,12.7535644070207,17.3633326940372,20.8252890828695
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Guyana,GUY,4.33446048864487,5.30286081193506,4.75554171445515,5.71716614249694,8.63106289339571,7.41420288945271,4.65447606083248,2.34363113297292,1.22251409873976,2.65156664307296
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Haiti,HTI,1.51897662031661,1.95105034505798,5.28288560791877,1.14629476342371,1.00764870630849,1.19544408437319,2.38937806954406,1.88809691791524,3.36370233772263,4.35702747437087
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Honduras,HND,10.3234244191906,18.3701461714923,13.6253370917885,12.7936528436106,13.910060382312,11.9956214727383,23.8269121942208,14.6678670474438,17.2972230971364,17.0642212949418
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,India,IND,18.6296205367074,11.2063688175425,17.2634154874596,10.0846800379296,11.3976479343618,9.0023457004643,15.0538331069002,7.81076067172717,8.26658065989597,10.143265701952
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Indonesia,IDN,29.917390542463,34.6071560879119,37.4796669814765,29.4361720648722,25.1358200297316,39.4859892619538,36.8194174897151,26.218999392201,23.3262163276477,19.5533839554927
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,"Iran, Islamic Rep.",IRN,0.475201806167401,0.872714707662858,2.55553520417039,0.478159659741247,0.157844607459891,0.410733312264047,0.583745017215295,0.476257127801588,0.169367435583114,0.337008948782267
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Iraq,IRQ,..,3.33581373594627,2.87614757264468,2.28520104063986,2.15503129187836,2.99450526403494,7.80084444278444,5.23260455028497,3.6105021310876,3.98382452695222
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..
"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..
