time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-01,7.94,27.83,26.94,60.43,14.51,24.98,62.68,10.23,7.12,9.93,3.01,8.23,46.45,37.43,47.26,95.18,2.59,9.95,6.8,10.3,11.56,7.13,39.75,63.0,4.91,102.22,148.0,78.2,6.94,34.45
2020-01-02,7.94,27.83,26.94,60.43,14.51,24.98,62.68,10.23,7.12,9.93,3.01,8.23,46.45,37.43,47.26,95.18,2.59,9.95,6.8,10.3,11.56,7.13,39.75,63.0,4.91,102.22,148.0,78.2,6.94,34.45
2020-01-03,8.01,27.45,27.11,60.34,14.58,25.02,63.47,10.85,7.11,10.08,2.93,8.33,46.69,37.66,48.09,94.77,2.59,9.95,6.88,10.3,11.61,6.94,39.93,62.93,4.91,102.49,148.8,78.73,7.02,34.65
2020-01-04,7.986666666666666,27.356666666666666,26.956666666666667,60.080000000000005,14.546666666666667,24.81,63.82,10.85,7.086666666666667,10.063333333333333,2.916666666666667,8.290000000000001,46.63666666666666,37.413333333333334,48.06333333333333,94.42,2.5766666666666667,9.95,6.84,10.25,11.523333333333333,6.8966666666666665,39.596666666666664,62.83,4.89,102.39999999999999,148.46666666666667,78.55333333333334,6.953333333333333,34.6
2020-01-05,7.963333333333334,27.263333333333335,26.80333333333333,59.82,14.513333333333334,24.6,64.17,10.85,7.0633333333333335,10.046666666666667,2.9033333333333333,8.25,46.583333333333336,37.166666666666664,48.03666666666667,94.07,2.563333333333333,9.95,6.8,10.200000000000001,11.436666666666666,6.8533333333333335,39.263333333333335,62.730000000000004,4.87,102.31,148.13333333333335,78.37666666666667,6.886666666666667,34.55
2020-01-06,7.94,27.17,26.65,59.56,14.48,24.39,64.52,10.85,7.04,10.03,2.89,8.21,46.53,36.92,48.01,93.72,2.55,9.95,6.76,10.15,11.35,6.81,38.93,62.63,4.85,102.22,147.8,78.2,6.82,34.5
2020-01-07,7.84,27.17,26.65,59.12,14.58,24.6,64.32,10.32,6.92,10.01,2.89,8.19,46.37,36.99,47.6,93.89,2.55,9.95,6.76,10.15,11.25,6.76,38.23,62.49,4.82,102.22,146.0,78.59,6.82,33.95
2020-01-08,7.77,26.42,27.34,58.17,14.78,24.43,65.18,9.96,6.89,9.79,2.86,8.13,45.72,36.79,47.18,93.72,2.55,9.95,6.69,10.1,11.18,6.75,38.23,61.53,4.77,101.96,145.8,78.59,6.82,33.5
2020-01-09,7.81,26.24,28.48,58.43,15.08,24.43,63.73,9.87,7.07,9.99,2.89,8.19,46.29,36.79,46.6,95.14,2.59,9.95,6.67,10.2,11.2,6.78,38.66,61.68,4.8,102.31,146.2,79.06,6.97,34.0
2020-01-10,7.98,26.14,29.68,58.52,16.01,24.47,63.21,10.32,7.27,10.16,2.97,8.39,46.69,36.99,46.77,97.9,2.75,9.95,6.78,10.5,11.4,6.86,39.32,62.56,4.77,102.22,146.3,78.86,7.14,34.1
2020-01-11,7.956666666666667,26.453333333333333,29.583333333333332,58.43,16.01,24.44333333333333,63.18666666666667,10.23,7.25,10.14,2.97,8.383333333333333,46.53,36.95666666666667,46.68666666666667,98.01,2.7733333333333334,9.95,6.8,10.516666666666667,11.343333333333334,6.87,39.233333333333334,63.02666666666667,4.786666666666666,102.25,146.36666666666667,78.81666666666666,7.123333333333333,34.06666666666667
