time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-01,7.84,27.74,26.2,59.65,13.91,24.56,61.69,9.43,6.95,9.66,2.86,8.06,45.56,36.38,45.86,93.51,2.51,9.95,6.67,10.0,11.4,6.68,39.01,62.26,4.82,101.33,146.3,77.07,6.72,33.8
2020-01-02,7.84,27.74,26.2,59.65,13.91,24.56,61.69,9.43,6.95,9.66,2.86,8.06,45.56,36.38,45.86,93.51,2.51,9.95,6.67,10.0,11.4,6.68,39.01,62.26,4.82,101.33,146.3,77.07,6.72,33.8
2020-01-03,7.91,27.45,26.65,59.56,14.18,24.3,62.28,10.05,7.02,9.95,2.89,8.21,45.96,36.86,46.85,93.51,2.51,9.95,6.71,10.15,11.47,6.78,39.1,62.34,4.82,101.6,147.5,78.2,6.82,34.1
2020-01-04,7.863333333333333,27.263333333333332,26.48,59.300000000000004,14.146666666666667,24.21666666666667,62.63333333333333,10.08,6.966666666666667,9.923333333333332,2.88,8.176666666666668,45.906666666666666,36.73,46.986666666666665,93.30333333333334,2.4966666666666666,9.95,6.696666666666666,10.1,11.373333333333333,6.746666666666667,38.75333333333334,61.89666666666667,4.803333333333334,101.63,146.86666666666667,77.89,6.776666666666667,33.9
2020-01-05,7.816666666666666,27.076666666666668,26.31,59.04,14.113333333333333,24.133333333333333,62.98666666666667,10.110000000000001,6.913333333333333,9.896666666666667,2.87,8.143333333333333,45.85333333333333,36.6,47.123333333333335,93.09666666666666,2.4833333333333334,9.95,6.683333333333334,10.05,11.276666666666667,6.713333333333333,38.406666666666666,61.45333333333333,4.786666666666666,101.66,146.23333333333332,77.58,6.733333333333333,33.7
2020-01-06,7.77,26.89,26.14,58.78,14.08,24.05,63.34,10.14,6.86,9.87,2.86,8.11,45.8,36.47,47.26,92.89,2.47,9.95,6.67,10.0,11.18,6.68,38.06,61.01,4.77,101.69,145.6,77.27,6.69,33.5
2020-01-07,7.77,26.42,25.8,58.6,14.31,24.13,63.4,9.78,6.81,9.77,2.82,8.08,45.88,36.25,46.68,92.93,2.47,9.95,6.71,10.0,11.15,6.7,37.14,61.16,4.77,101.6,145.5,77.73,6.71,33.6
2020-01-08,7.6,26.24,26.14,57.12,14.21,24.05,63.86,9.52,6.7,9.58,2.82,8.02,44.99,36.09,46.02,92.93,2.44,9.95,6.49,9.97,10.96,6.65,37.49,59.69,4.68,100.98,144.0,77.73,6.67,32.6
2020-01-09,7.67,26.05,27.17,56.6,14.58,24.18,62.42,9.69,6.83,9.77,2.82,8.04,45.72,36.28,46.11,92.26,2.47,9.95,6.6,10.05,11.08,6.65,38.14,61.09,4.68,101.51,144.7,78.33,6.79,33.3
2020-01-10,7.77,25.77,28.31,56.52,15.01,24.18,62.55,9.78,7.06,9.95,2.86,8.19,45.72,36.57,46.11,94.77,2.55,9.95,6.62,10.15,11.15,6.71,38.23,60.94,4.68,101.96,145.3,78.33,6.96,33.55
