CountryCode,Year,GDP
VN,2023,377364153384.169
VN,2022,359235578724.112
VN,2021,332245562394.77
VN,2020,323972192107.065
VN,2019,314947640805.601
VN,2018,293358610036.841
VN,2017,272980590259.187
VN,2016,255264731908.124
VN,2015,239258328381.741
VN,2014,223632762207.56
VN,2013,210137237901.389
VN,2012,199081239731.688
VN,2011,188694468366.268
VN,2010,177322478338.404
VN,2009,166620063722.291
VN,2008,158086705343.275
VN,2007,149615800998.365
VN,2006,139658819217.11
VN,2005,130549157968.493
VN,2004,121387725604.567
VN,2003,112880581486.059
VN,2002,105595482130.707
VN,2001,99317782863.096
VN,2000,93525828108.839
VN,1999,87581401291.5701
VN,1998,83591107164.2471
VN,1997,79035160538.4626
VN,1996,73077797034.1306
VN,1995,66835362482.4846
VN,1994,61014304826.6384
VN,1993,56059239339.3434
VN,1992,51871770980.839
VN,1991,47743817832.1663
VN,1990,45057981854.8071
VN,1989,42871159122.6828
VN,1988,39930474201.495
VN,1987,37980187158.0424
VN,1986,36666262766.8568
VN,1985,35671286575.7778
VN,1984,34363462779.8136
US,2023,22062578283266.8
US,2022,21443388432051.0
US,2021,20917853444668.3
US,2020,19723580221938.2
US,2019,20159639089698.1
US,2018,19651869117582.5
US,2017,19085691122935.2
US,2016,18627887993000.0
US,2015,18295019000000.0
US,2014,17771549056000.0
US,2013,17334068403000.0
US,2012,16974575729000.0
US,2011,16594704135000.0
US,2010,16339094225000.0
US,2009,15910281498000.0
US,2008,16331051067000.0
US,2007,16312522122000.0
US,2006,15992063824000.0
US,2005,15558822251000.0
US,2004,15035068144000.0
US,2003,14477988212000.0
US,2002,14084248131000.0
US,2001,13848757308000.0
US,2000,13717679619000.0
US,1999,13180243872000.0
US,1998,12577957790000.0
US,1997,12038266261000.0
US,1996,11525703481000.0
US,1995,11106673921000.0
US,1994,10816317373000.0
US,1993,10397403618000.0
US,1992,10118950750000.0
US,1991,9774639354000.0
US,1990,9785238028000.0
US,1989,9604107859000.0
US,1988,9263914872000.0
US,1987,8892477646000.0
US,1986,8595533786000.0
US,1985,8307861210000.0
US,1984,7975324064000.0
US,1983,7437138985000.0
US,1982,7111177473000.0
US,1981,7241747173000.0
US,1980,7062521476000.0
US,1979,7080703003000.0
US,1978,6863408304000.0
US,1977,6503430024000.0
US,1976,6215991006000.0
US,1975,5898194298000.0
US,1974,5910347106000.0
CN,2023,17175670911003.5
CN,2022,16318995784492.7
CN,2021,15851276922873.1
CN,2020,14616413683019.5
CN,2019,14296369668065.2
CN,2018,13493442283300.8
CN,2017,12640253743744.4
CN,2016,11819153423353.8
CN,2015,11061572618578.7
CN,2014,10333926843443.8
CN,2013,9619598215288.48
CN,2012,8926363432826.3
CN,2011,8275592638197.0
CN,2010,7554112071638.2
CN,2009,6827904909100.22
CN,2008,6241302053216.75
CN,2007,5691986693310.73
CN,2006,4982879973774.79
CN,2005,4420544471398.72
CN,2004,3968365429214.8
CN,2003,3603882407613.85
CN,2002,3275124420038.43
CN,2001,3001022138034.24
CN,2000,2770112908903.6
CN,1999,2553332587278.43
CN,1998,2371626806476.09
CN,1997,2199087464269.01
CN,1996,2013138309684.44
CN,1995,1831415106374.65
CN,1994,1650608234052.85
CN,1993,1460239618602.01
CN,1992,1282219705619.77
CN,1991,1122543213961.28
CN,1990,1027379269906.5
CN,1989,988622772158.878
CN,1988,948716580689.189
CN,1987,852989071904.214
CN,1986,763934015643.453
CN,1985,701178782692.455
CN,1984,618156214897.21
CN,1983,536633345444.084
CN,1982,484456409125.223
CN,1981,444385648943.338
CN,1980,422770408019.505
CN,1979,392056159908.458
CN,1978,364393840371.876
CN,1977,327321481434.924
CN,1976,304286958660.14
CN,1975,309140463949.254
CN,1974,284345533440.415
RU,2023,1524520243059.52
RU,2022,1471544636157.84
RU,2021,1502645054025.01
RU,2020,1422766794794.99
RU,2019,1461551317106.21
RU,2018,1430116278515.49
RU,2017,1391065651845.68
RU,2016,1366123111808.03
RU,2015,1363482182197.71
RU,2014,1390921151162.46
RU,2013,1380755103919.45
RU,2012,1356935163515.02
RU,2011,1304443243520.47
RU,2010,1250664313044.7
RU,2009,1196807955075.78
RU,2008,1298056264706.47
RU,2007,1233894148246.74
RU,2006,1137229862730.35
RU,2005,1051043572407.72
RU,2004,987823227180.876
RU,2003,921477339133.556
RU,2002,858786345187.109
RU,2001,820235350096.64
RU,2000,780432873752.842
RU,1999,709483999746.068
RU,1998,666808805066.777
RU,1997,704127280749.068
RU,1996,694406178897.725
RU,1995,721498966070.726
RU,1994,752686755591.282
RU,1993,860899753889.459
RU,1992,942610308779.562
RU,1991,1102869019642.57
RU,1990,1161488648465.81
RU,1989,1197410924008.05
IN,2023,3215973434046.11
IN,2022,2973542414790.52
IN,2021,2779348258938.77
IN,2020,2533830417086.54
IN,2019,2689205295885.31
IN,2018,2588974770244.57
IN,2017,2432016068497.75
IN,2016,2277267041550.36
IN,2015,2103588360044.94
IN,2014,1947834564908.95
IN,2013,1813453530766.63
IN,2012,1704596203504.32
IN,2011,1616399198833.92
IN,2010,1535897931732.14
IN,2009,1415605643155.69
IN,2008,1312424303406.43
IN,2007,1273126725479.64
IN,2006,1182534912713.8
IN,2005,1094324353140.52
IN,2004,1013982178697.24
IN,2003,939542798342.002
IN,2002,871073127580.09
IN,2001,839151992864.812
IN,2000,800534479623.61
IN,1999,770923380745.097
IN,1998,708271422053.216
IN,1997,667020123972.214
IN,1996,641058406947.109
IN,1995,596058814154.216
IN,1994,554089360749.644
IN,1993,519496484311.542
IN,1992,495935689518.468
IN,1991,470159674247.956
IN,1990,465242841648.51
IN,1989,440848680243.36
IN,1988,416101684459.118
IN,1987,379558605848.711
IN,1986,365081813582.139
IN,1985,348438428459.16
IN,1984,331044366862.92
IN,1983,318861504646.348
IN,1982,297198988654.362
IN,1981,287216122417.714
IN,1980,270942749191.358
IN,1979,253844253326.143
IN,1978,267876092471.368
IN,1977,253400507185.485
IN,1976,236260373289.536
IN,1975,232395396987.391
IN,1974,212913957231.546
EUU,2023,15529080146569.1
EUU,2022,15462923840803.0
EUU,2021,14940354568036.3
EUU,2020,14047261785039.8
EUU,2019,14876936810776.6
EUU,2018,14603024724373.1
EUU,2017,14309680304964.5
EUU,2016,13920536464164.8
EUU,2015,13655089869785.3
EUU,2014,13338839168176.5
EUU,2013,13125102945888.3
EUU,2012,13130043284418.8
EUU,2011,13230730453866.3
EUU,2010,12976295644548.1
EUU,2009,12698879094784.7
EUU,2008,13270973190778.7
EUU,2007,13188759129146.8
EUU,2006,12787037124124.6
EUU,2005,12346863024368.0
EUU,2004,12106691064531.7
EUU,2003,11799825426851.3
EUU,2002,11690138584403.3
EUU,2001,11563177080157.1
EUU,2000,11318534007345.5
EUU,1999,10890061092406.1
EUU,1998,10572469775388.2
EUU,1997,10266314052830.8
EUU,1996,9997765965031.59
EUU,1995,9809786551827.42
EUU,1994,9549563935190.81
EUU,1993,9298356988319.14
EUU,1992,9354108862472.62
EUU,1991,9270510147123.61
EUU,1990,9137081390856.05
EUU,1989,8845411249302.93
EUU,1988,8513946817462.99
EUU,1987,8176230601931.27
EUU,1986,7973386210842.74
EUU,1985,7772894084092.37
EUU,1984,7596897662958.04
EUU,1983,7409688121838.52
EUU,1982,7304068362857.44
EUU,1981,7244699922065.11
EUU,1980,7204473895580.58
EUU,1979,7058564465642.89
EUU,1978,6794308372546.48
EUU,1977,6593198639128.95
EUU,1976,6404307682950.55
EUU,1975,6106043405866.08
EUU,1974,6143811574151.45
